Time,PLANTAX08:OFFICE:WINTER DESIGN DAY IN CICSE ALJARAFE CENTER (01-01:31-12):Des Heat Load [W],PLANTAX08:OFFICE:SUMMER DESIGN DAY IN CICSE ALJARAFE CENTER (01-01:31-12) JUL:Des Sens Cool Load [W],PLANTAX08:OFFICE:WINTER DESIGN DAY IN CICSE ALJARAFE CENTER (01-01:31-12):Des Heat Mass Flow [kg/s],PLANTAX08:OFFICE:SUMMER DESIGN DAY IN CICSE ALJARAFE CENTER (01-01:31-12) JUL:Des Cool Mass Flow [kg/s]
00:10:00,1.994580E+03,0.000000E+00,5.296753E-02,0.000000E+00
00:20:00,1.987250E+03,0.000000E+00,5.277286E-02,0.000000E+00
00:30:00,1.979934E+03,0.000000E+00,5.257859E-02,0.000000E+00
00:40:00,1.972634E+03,0.000000E+00,5.238472E-02,0.000000E+00
00:50:00,1.965348E+03,0.000000E+00,5.219124E-02,0.000000E+00
01:00:00,1.958077E+03,0.000000E+00,5.199815E-02,0.000000E+00
01:10:00,1.958441E+03,0.000000E+00,5.200782E-02,0.000000E+00
01:20:00,1.958804E+03,0.000000E+00,5.201746E-02,0.000000E+00
01:30:00,1.959167E+03,0.000000E+00,5.202709E-02,0.000000E+00
01:40:00,1.959528E+03,0.000000E+00,5.203670E-02,0.000000E+00
01:50:00,1.959889E+03,0.000000E+00,5.204629E-02,0.000000E+00
02:00:00,1.960250E+03,0.000000E+00,5.205586E-02,0.000000E+00
02:10:00,1.960609E+03,0.000000E+00,5.206541E-02,0.000000E+00
02:20:00,1.960968E+03,0.000000E+00,5.207494E-02,0.000000E+00
02:30:00,1.961326E+03,0.000000E+00,5.208445E-02,0.000000E+00
02:40:00,1.961684E+03,0.000000E+00,5.209394E-02,0.000000E+00
02:50:00,1.962041E+03,0.000000E+00,5.210342E-02,0.000000E+00
03:00:00,1.962397E+03,0.000000E+00,5.211287E-02,0.000000E+00
03:10:00,1.962752E+03,0.000000E+00,5.212230E-02,0.000000E+00
03:20:00,1.963106E+03,0.000000E+00,5.213172E-02,0.000000E+00
03:30:00,1.963460E+03,0.000000E+00,5.214112E-02,0.000000E+00
03:40:00,1.963813E+03,0.000000E+00,5.215049E-02,0.000000E+00
03:50:00,1.964166E+03,0.000000E+00,5.215985E-02,0.000000E+00
04:00:00,1.964517E+03,0.000000E+00,5.216919E-02,0.000000E+00
04:10:00,1.964868E+03,0.000000E+00,5.217851E-02,0.000000E+00
04:20:00,1.965219E+03,0.000000E+00,5.218781E-02,0.000000E+00
04:30:00,1.965568E+03,0.000000E+00,5.219710E-02,0.000000E+00
04:40:00,1.965917E+03,0.000000E+00,5.220636E-02,0.000000E+00
04:50:00,1.966265E+03,0.000000E+00,5.221560E-02,0.000000E+00
05:00:00,1.966613E+03,0.000000E+00,5.222483E-02,0.000000E+00
05:10:00,1.966959E+03,0.000000E+00,5.223404E-02,0.000000E+00
05:20:00,1.967305E+03,0.000000E+00,5.224323E-02,0.000000E+00
05:30:00,1.967651E+03,0.000000E+00,5.225240E-02,0.000000E+00
05:40:00,1.967995E+03,0.000000E+00,5.226155E-02,0.000000E+00
05:50:00,1.968339E+03,0.000000E+00,5.227068E-02,0.000000E+00
06:00:00,1.968683E+03,0.000000E+00,5.227980E-02,0.000000E+00
06:10:00,1.969025E+03,0.000000E+00,5.228889E-02,0.000000E+00
06:20:00,1.969367E+03,0.000000E+00,5.229797E-02,0.000000E+00
06:30:00,1.969708E+03,0.000000E+00,5.230703E-02,0.000000E+00
06:40:00,1.970049E+03,0.000000E+00,5.231607E-02,0.000000E+00
06:50:00,1.970388E+03,0.000000E+00,5.232509E-02,0.000000E+00
07:00:00,1.970727E+03,0.000000E+00,5.233410E-02,0.000000E+00
07:10:00,1.971066E+03,0.000000E+00,5.234309E-02,0.000000E+00
07:20:00,1.971403E+03,0.000000E+00,5.235205E-02,0.000000E+00
07:30:00,1.971740E+03,0.000000E+00,5.236100E-02,0.000000E+00
07:40:00,1.972077E+03,0.000000E+00,5.236993E-02,0.000000E+00
07:50:00,1.972412E+03,0.000000E+00,5.237885E-02,0.000000E+00
08:00:00,1.972747E+03,0.000000E+00,5.238774E-02,0.000000E+00
08:10:00,1.973082E+03,0.000000E+00,5.239662E-02,0.000000E+00
08:20:00,1.973415E+03,1.758749E+01,5.240548E-02,6.668006E-04
08:30:00,1.973748E+03,1.723377E+02,5.241432E-02,6.493055E-03
08:40:00,1.974080E+03,3.412581E+02,5.242314E-02,1.285281E-02
08:50:00,1.974412E+03,5.915350E+02,5.243195E-02,2.227559E-02
09:00:00,1.974743E+03,9.041725E+02,5.244074E-02,3.404621E-02
09:10:00,1.975073E+03,1.273629E+03,5.244951E-02,4.795605E-02
09:20:00,1.975403E+03,1.679933E+03,5.245826E-02,6.324851E-02
09:30:00,1.975732E+03,1.999862E+03,5.246699E-02,7.529366E-02
09:40:00,1.976060E+03,2.353314E+03,5.247571E-02,8.860091E-02
09:50:00,1.976387E+03,2.669548E+03,5.248441E-02,1.005069E-01
10:00:00,1.976714E+03,2.964815E+03,5.249309E-02,1.116236E-01
10:10:00,1.977041E+03,3.239456E+03,5.250175E-02,1.219636E-01
10:20:00,1.977366E+03,3.492649E+03,5.251040E-02,1.314962E-01
10:30:00,1.977691E+03,3.722936E+03,5.251902E-02,1.401664E-01
10:40:00,1.978015E+03,3.931589E+03,5.252763E-02,1.480220E-01
10:50:00,1.978339E+03,4.119211E+03,5.253623E-02,1.550859E-01
11:00:00,1.978662E+03,4.285625E+03,5.254480E-02,1.613513E-01
11:10:00,1.978984E+03,4.427807E+03,5.255336E-02,1.667044E-01
11:20:00,1.979306E+03,4.546183E+03,5.256190E-02,1.711612E-01
11:30:00,1.979627E+03,4.643299E+03,5.257043E-02,1.748175E-01
11:40:00,1.979947E+03,4.718725E+03,5.257893E-02,1.776572E-01
11:50:00,1.980267E+03,4.773520E+03,5.258742E-02,1.797203E-01
12:00:00,1.980586E+03,4.809159E+03,5.259589E-02,1.810620E-01
12:10:00,1.980904E+03,4.830447E+03,5.260435E-02,1.818635E-01
12:20:00,1.981222E+03,4.839703E+03,5.261278E-02,1.822120E-01
12:30:00,1.981539E+03,4.839808E+03,5.262120E-02,1.822159E-01
12:40:00,1.981855E+03,4.833945E+03,5.262961E-02,1.819952E-01
12:50:00,1.982171E+03,4.825996E+03,5.263799E-02,1.816960E-01
13:00:00,1.982486E+03,4.821791E+03,5.264636E-02,1.815376E-01
13:10:00,1.982801E+03,4.825021E+03,5.265471E-02,1.816593E-01
13:20:00,1.983114E+03,4.838711E+03,5.266305E-02,1.821747E-01
13:30:00,1.983428E+03,4.864444E+03,5.267136E-02,1.831435E-01
13:40:00,1.983740E+03,4.902948E+03,5.267966E-02,1.845931E-01
13:50:00,1.984052E+03,4.953738E+03,5.268795E-02,1.865053E-01
14:00:00,1.984363E+03,5.013819E+03,5.269622E-02,1.887674E-01
14:10:00,1.984674E+03,5.079172E+03,5.270447E-02,1.912279E-01
14:20:00,1.984984E+03,5.148363E+03,5.271270E-02,1.938329E-01
14:30:00,1.985294E+03,5.220458E+03,5.272092E-02,1.965472E-01
14:40:00,1.985602E+03,5.294639E+03,5.272911E-02,1.993401E-01
14:50:00,1.985910E+03,5.370096E+03,5.273730E-02,2.021810E-01
15:00:00,1.986218E+03,5.445983E+03,5.274546E-02,2.050381E-01
15:10:00,1.986525E+03,5.520041E+03,5.275361E-02,2.078263E-01
15:20:00,1.986831E+03,5.591193E+03,5.276175E-02,2.105052E-01
15:30:00,1.987137E+03,5.658402E+03,5.276986E-02,2.130355E-01
15:40:00,1.987442E+03,5.720638E+03,5.277796E-02,2.153787E-01
15:50:00,1.987746E+03,5.776988E+03,5.278605E-02,2.175002E-01
16:00:00,1.988050E+03,5.827002E+03,5.279411E-02,2.193832E-01
16:10:00,1.988353E+03,5.874718E+03,5.280217E-02,2.211797E-01
16:20:00,1.988656E+03,5.919968E+03,5.281020E-02,2.228834E-01
16:30:00,1.988958E+03,5.963393E+03,5.281822E-02,2.245183E-01
16:40:00,1.989259E+03,6.004340E+03,5.282622E-02,2.260599E-01
16:50:00,1.989560E+03,6.042542E+03,5.283420E-02,2.274982E-01
17:00:00,1.989860E+03,6.077317E+03,5.284217E-02,2.288074E-01
17:10:00,1.990159E+03,6.107573E+03,5.285013E-02,2.299466E-01
17:20:00,1.990458E+03,6.132486E+03,5.285806E-02,2.308845E-01
17:30:00,1.990756E+03,6.150440E+03,5.286598E-02,2.315605E-01
17:40:00,1.991054E+03,6.161104E+03,5.287389E-02,2.319620E-01
17:50:00,1.991351E+03,6.163667E+03,5.288178E-02,2.320585E-01
18:00:00,1.991647E+03,6.156885E+03,5.288965E-02,2.318031E-01
18:10:00,1.991943E+03,6.045792E+03,5.289750E-02,2.276206E-01
18:20:00,1.992239E+03,5.893957E+03,5.290534E-02,2.219041E-01
18:30:00,1.992533E+03,5.708314E+03,5.291317E-02,2.149147E-01
18:40:00,1.992827E+03,5.491932E+03,5.292098E-02,2.067681E-01
18:50:00,1.993121E+03,5.247085E+03,5.292877E-02,1.975497E-01
19:00:00,1.993413E+03,4.973112E+03,5.293654E-02,1.872348E-01
19:10:00,1.993706E+03,4.770392E+03,5.294430E-02,1.796025E-01
19:20:00,1.993997E+03,4.573915E+03,5.295205E-02,1.722052E-01
19:30:00,1.994288E+03,4.374567E+03,5.295978E-02,1.646999E-01
19:40:00,1.994579E+03,4.166731E+03,5.296749E-02,1.568750E-01
19:50:00,1.994869E+03,3.945306E+03,5.297519E-02,1.485385E-01
20:00:00,1.995158E+03,3.706401E+03,5.298287E-02,1.395439E-01
20:10:00,1.995447E+03,3.448542E+03,5.299053E-02,1.298356E-01
20:20:00,1.995735E+03,3.166293E+03,5.299818E-02,1.192091E-01
20:30:00,1.996022E+03,2.868995E+03,5.300582E-02,1.080160E-01
20:40:00,1.996309E+03,2.570744E+03,5.301344E-02,9.678703E-02
20:50:00,1.996595E+03,2.279665E+03,5.302104E-02,8.582807E-02
21:00:00,1.996881E+03,2.004767E+03,5.302863E-02,7.547832E-02
21:10:00,1.997166E+03,1.747113E+03,5.303620E-02,6.577778E-02
21:20:00,1.997451E+03,1.516046E+03,5.304376E-02,5.707824E-02
21:30:00,1.997735E+03,1.306690E+03,5.305130E-02,4.919613E-02
21:40:00,1.998018E+03,1.109720E+03,5.305883E-02,4.178031E-02
21:50:00,1.998301E+03,9.220607E+02,5.306634E-02,3.471505E-02
22:00:00,1.998583E+03,7.419183E+02,5.307383E-02,2.793279E-02
22:10:00,1.998865E+03,5.702942E+02,5.308131E-02,2.147125E-02
22:20:00,1.999146E+03,4.063800E+02,5.308878E-02,1.529997E-02
22:30:00,1.999427E+03,2.694239E+02,5.309623E-02,1.014365E-02
22:40:00,1.999706E+03,1.617420E+02,5.310366E-02,6.089492E-03
22:50:00,1.999986E+03,8.241092E+01,5.311108E-02,3.102724E-03
23:00:00,2.000265E+03,3.060315E+01,5.311848E-02,1.152191E-03
23:10:00,2.000543E+03,3.370673E+00,5.312587E-02,1.269039E-04
23:20:00,2.000821E+03,0.000000E+00,5.313325E-02,0.000000E+00
23:30:00,2.001098E+03,0.000000E+00,5.314061E-02,0.000000E+00
23:40:00,2.001374E+03,0.000000E+00,5.314795E-02,0.000000E+00
23:50:00,2.001650E+03,0.000000E+00,5.315528E-02,0.000000E+00
24:00:00,2.001926E+03,0.000000E+00,5.316259E-02,0.000000E+00
Peak,2.001926E+03,6.163667E+03,5.316259E-02,2.320585E-01

Peak Vol Flow (m3/s),,,4.430626E-02,1.933999E-01
